[2025-09-09 13:56:57.516] [info]  DiscordSplash.signalReady
[2025-09-09 13:56:57.551] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-09-09 13:56:57.551] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-09-09 13:56:57.553] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-09-09 13:56:57.553] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-09-09 13:56:57.553] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-09-09 13:56:57.553] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-09-09 13:56:57.554] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-09-09 13:56:57.554] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-09-09 13:56:57.554] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-09-09 13:56:57.554] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-09-09 13:56:57.554] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-09-09 13:56:57.554] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-09-09 13:56:57.554] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-09-09 13:56:57.554] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-09-09 13:56:58.045] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-09-09 13:56:58.045] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-09-09 13:56:58.516] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-09 13:56:58.549] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-09-09 13:56:58.550] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-09-09 13:56:58.566] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-09-09 13:56:58.566] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-09-09 13:56:58.596] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-09-09 13:56:58.596] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-09-09 13:56:58.607] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-09-09 13:56:58.608] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-09-09 13:56:58.629] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-09-09 13:56:58.629] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-09-09 13:56:58.634] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-09-09 13:56:58.634] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-09-09 13:56:58.641] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-09-09 13:56:58.641] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-09-09 13:56:58.669] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-09-09 13:56:58.669] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-09-09 13:56:58.671] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
